,2000,2100,2200,2300,2400,2500,2600,2700,2800,2900,3000,3100,3200,3300,3400,3500,3600,3700,3800,3900,4000
0,-1078393.3066666652,-1228517.0399999986,-1378640.773333332,-1528764.5066666652,-1678888.2399999986,-1829011.973333332,-1979135.7066666659,-2129259.439999999,-2279383.1733333324,-2429506.9066666653,-2579630.6399999987,-2729754.373333332,-2879878.106666665,-3030001.8399999985,-3180125.573333332,-3330249.3066666652,-3480373.0399999986,-3630496.773333332,-3780620.5066666654,-3930744.239999999,-4080867.9733333318
10,1122354.7866666685,1082068.7200000023,1041782.6533333356,1001496.586666669,961210.5200000022,920924.4533333356,880638.3866666685,840352.3200000018,800066.2533333352,759780.1866666675,719494.1200000013,679208.0533333351,638921.9866666684,598635.9200000007,558349.8533333332,518063.78666666645,477777.7199999998,437491.65333333414,397205.5866666675,356919.5200000008,316633.4533333341
20,-1491328.8,-1382474.8,-1273620.8,-1164766.8,-1055912.8,-947058.8,-838204.799999999,-729350.7999999995,-620496.7999999995,-511642.7999999995,-402788.7999999995,-293934.7999999995,-185080.799999999,-76226.79999999901,32627.200000000994,141481.2,250335.2,359189.2,468043.2,576897.2,685751.2
30,1052485.0,1273472.3333333333,1494459.6666666667,1715447.0,1936434.3333333333,2157421.6666666665,2378409.000000001,2599396.333333334,2820383.666666667,3041371.0000000005,3262358.333333334,3483345.666666667,3704333.000000001,3925320.3333333344,4146307.6666666674,4367295.0,4588282.333333333,4809269.666666667,5030257.0,5251244.333333333,5472231.666666667
40,3260893.6666666665,3594014.3333333335,3927135.0,4260255.666666667,4593376.333333333,4926497.0,5259617.666666668,5592738.333333333,5925859.0,6258979.666666667,6592100.333333333,6925221.0,7258341.666666668,7591462.333333334,7924583.000000001,8257703.666666667,8590824.333333334,8923945.0,9257065.666666666,9590186.333333334,9923307.0
50,5635924.2,6081178.2,6526432.2,6971686.2,7416940.2,7862194.2,8307448.2,8752702.2,9197956.2,9643210.2,10088464.2,10533718.2,10978972.2,11424226.2,11869480.2,12314734.2,12759988.2,13205242.2,13650496.2,14095750.2,14541004.2
60,7647430.8,8204818.133333334,8762205.466666667,9319592.8,9876980.133333333,10434367.466666667,10991754.8,11549142.133333333,12106529.466666667,12663916.8,13221304.133333333,13778691.466666667,14336078.8,14893466.133333333,15450853.466666667,16008240.8,16565628.133333333,17123015.466666665,17680402.8,18237790.133333333,18795177.466666665
70,10083813.266666668,10753333.933333334,11422854.6,12092375.266666668,12761895.933333334,13431416.6,14100937.266666668,14770457.933333334,15439978.6,16109499.266666668,16779019.933333334,17448540.6,18118061.266666666,18787581.933333334,19457102.6,20126623.266666666,20796143.933333334,21465664.6,22135185.266666666,22804705.933333334,23474226.6
80,12218627.333333334,13000281.333333334,13781935.333333334,14563589.333333334,15345243.333333334,16126897.333333334,16908551.333333332,17690205.333333332,18471859.333333332,19253513.333333332,20035167.333333332,20816821.333333332,21598475.333333332,22380129.333333332,23161783.333333332,23943437.333333332,24725091.333333332,25506745.333333332,26288399.333333332,27070053.333333332,27851707.333333332
90,14488351.799999984,15382139.133333318,16275926.46666665,17169713.799999986,18063501.133333318,18957288.46666665,19851075.799999986,20744863.133333318,21638650.46666665,22532437.799999986,23426225.133333318,24320012.46666665,25213799.799999986,26107587.133333318,27001374.46666665,27895161.799999986,28788949.133333318,29682736.46666665,30576523.799999986,31470311.133333318,32364098.46666665
100,16604475.6,17610396.266666666,18616316.933333334,19622237.6,20628158.266666666,21634078.933333334,22639999.6,23645920.266666666,24651840.933333334,25657761.6,26663682.266666666,27669602.933333334,28675523.6,29681444.266666666,30687364.933333334,31693285.6,32699206.266666666,33705126.93333333,34711047.6,35716968.266666666,36722888.93333333
